item_id,museum,text_visual,text_visual_version,text_visual_sha256,text_metadata,text_metadata_version,text_metadata_sha256
CMA:102924,CMA,Title: Fragment of a Border; Object type: Textile; Technique: cotton plain cloth embroidered in wool outline stitch,visual_semantic_v1,6ad87454ad394451f83f2742a6cf3582f9f3d69bb8063857e9754211c62c3590,Title: Fragment of a Border; Object type: Textile; Technique: cotton plain cloth embroidered in wool outline stitch; Culture: Paracas; Period: 300–100 BCE; Classification: Textile,metadata_rich_v1,eb8474f696b1aedd61425f63d71a6cb6c66957c6f876cf9980fa7011839683e3
CMA:104234,CMA,"Title: Fragment Composed of Two Fabrics Joined; Object type: Textile; Technique: plain compound twill and plain compound tabby, cotton",visual_semantic_v1,54f15bbcc3a085ecfbf662ae31d3141ae0214542d0aae02d34a94b089502c67b,"Title: Fragment Composed of Two Fabrics Joined; Object type: Textile; Technique: plain compound twill and plain compound tabby, cotton; Culture: Chancay; Period: c. 1100–1400; Classification: Textile",metadata_rich_v1,553341cd96d5792956ba0098aa267bce32680e6f74c879eeb48605f421585704
CMA:104236,CMA,"Title: Fragment formed of Four Separate Fabrics Joined; Object type: Textile; Technique: two pieces plain cloth, two pieces compound twill, cotton",visual_semantic_v1,fabb33458de0c792eaec287b45ea0d04f7cda6ce51320d9db56adf483bd32839,"Title: Fragment formed of Four Separate Fabrics Joined; Object type: Textile; Technique: two pieces plain cloth, two pieces compound twill, cotton; Culture: Chancay; Period: c. 1100–1400; Classification: Textile",metadata_rich_v1,64c0b9a3f2944b3769bf8f03afa969c529bade182b3afc05346312b3ae64b46a
CMA:104238,CMA,"Title: Fragment; Object type: Textile; Technique: plain cloth, brocaded, cotton",visual_semantic_v1,d2e9e0d63fab653ef5a1914f285bfda2c4eb1be590a13876770eb8d70975bdfd,"Title: Fragment; Object type: Textile; Technique: plain cloth, brocaded, cotton; Culture: Chimu; Period: c. 1100–1400; Classification: Textile",metadata_rich_v1,823a8b42847af1441893f97e9f0468bd24b757c4dd4d2e5775f306c0df03aec4
CMA:104240,CMA,"Title: Border Strip; Object type: Textile; Technique: tabby weave with supplementary pattern weft, cotton",visual_semantic_v1,bf3c9b9b5e366c760015d86f9cf04787b0c6c3f68c4131aa52d3e3a960d4781b,"Title: Border Strip; Object type: Textile; Technique: tabby weave with supplementary pattern weft, cotton; Culture: Chancay; Period: c. 1100–1400; Classification: Textile",metadata_rich_v1,f700aaf506a6e323b3b09797c77e806a03d8f3b9baf2421363fc2df2048b5486
CMA:104241,CMA,"Title: Four Border Strips; Object type: Textile; Technique: plain compound cloth, cotton",visual_semantic_v1,1201f150af0fed3d70fbc73767bdb17bc00861d09a3ac1a9a90e709fcf0bcedb,"Title: Four Border Strips; Object type: Textile; Technique: plain compound cloth, cotton; Culture: Chancay; Period: c. 1100–1400; Classification: Textile",metadata_rich_v1,272bd0c07a587231d462df1fd481beced7397b5b4cb5ea6f5b339c8f05cc1aa5
CMA:104242,CMA,"Title: Four Border Strips; Object type: Textile; Technique: plain compound cloth, cotton",visual_semantic_v1,1201f150af0fed3d70fbc73767bdb17bc00861d09a3ac1a9a90e709fcf0bcedb,"Title: Four Border Strips; Object type: Textile; Technique: plain compound cloth, cotton; Culture: Chancay; Period: c. 1100–1400; Classification: Textile",metadata_rich_v1,272bd0c07a587231d462df1fd481beced7397b5b4cb5ea6f5b339c8f05cc1aa5
CMA:104243,CMA,"Title: Four Border Strips; Object type: Textile; Technique: plain compound cloth, cotton",visual_semantic_v1,1201f150af0fed3d70fbc73767bdb17bc00861d09a3ac1a9a90e709fcf0bcedb,"Title: Four Border Strips; Object type: Textile; Technique: plain compound cloth, cotton; Culture: Chancay; Period: c. 1100–1400; Classification: Textile",metadata_rich_v1,272bd0c07a587231d462df1fd481beced7397b5b4cb5ea6f5b339c8f05cc1aa5
CMA:104244,CMA,"Title: Four Border Strips; Object type: Textile; Technique: plain compound cloth, cotton",visual_semantic_v1,1201f150af0fed3d70fbc73767bdb17bc00861d09a3ac1a9a90e709fcf0bcedb,"Title: Four Border Strips; Object type: Textile; Technique: plain compound cloth, cotton; Culture: Chancay; Period: c. 1100–1400; Classification: Textile",metadata_rich_v1,272bd0c07a587231d462df1fd481beced7397b5b4cb5ea6f5b339c8f05cc1aa5
CMA:104245,CMA,"Title: Four Border Strips; Object type: Textile; Technique: plain compound cloth, cotton",visual_semantic_v1,1201f150af0fed3d70fbc73767bdb17bc00861d09a3ac1a9a90e709fcf0bcedb,"Title: Four Border Strips; Object type: Textile; Technique: plain compound cloth, cotton; Culture: Chancay; Period: c. 1100–1400; Classification: Textile",metadata_rich_v1,272bd0c07a587231d462df1fd481beced7397b5b4cb5ea6f5b339c8f05cc1aa5
CMA:104246,CMA,"Title: Three Fragments of a Border; Object type: Textile; Technique: tabby with inset border of fancy twill, brocaded, cotton and wool",visual_semantic_v1,efd08246ccfb40c27208e2c4535e9cc93f48ba6a5fce64a781e8a34c031aa916,"Title: Three Fragments of a Border; Object type: Textile; Technique: tabby with inset border of fancy twill, brocaded, cotton and wool; Culture: Chancay; Period: c. 1100–1400; Classification: Textile",metadata_rich_v1,cf0195a664a312d528d77b7052733758dc6ee3e67a168ed15043898fe0592077
CMA:104247,CMA,"Title: Three Fragments of a Border; Object type: Textile; Technique: tabby with inset border of fancy twill, brocaded, cotton and wool",visual_semantic_v1,efd08246ccfb40c27208e2c4535e9cc93f48ba6a5fce64a781e8a34c031aa916,"Title: Three Fragments of a Border; Object type: Textile; Technique: tabby with inset border of fancy twill, brocaded, cotton and wool; Culture: Chancay; Period: c. 1100–1400; Classification: Textile",metadata_rich_v1,cf0195a664a312d528d77b7052733758dc6ee3e67a168ed15043898fe0592077
CMA:104248,CMA,"Title: Three Fragments of a Border; Object type: Textile; Technique: tabby with inset border of fancy twill, brocaded, cotton and wool",visual_semantic_v1,efd08246ccfb40c27208e2c4535e9cc93f48ba6a5fce64a781e8a34c031aa916,"Title: Three Fragments of a Border; Object type: Textile; Technique: tabby with inset border of fancy twill, brocaded, cotton and wool; Culture: Chancay; Period: c. 1100–1400; Classification: Textile",metadata_rich_v1,cf0195a664a312d528d77b7052733758dc6ee3e67a168ed15043898fe0592077
CMA:104249,CMA,"Title: Three Fragments of a Border; Object type: Textile; Technique: tabby with inset border of fancy twill, brocaded, cotton and wool",visual_semantic_v1,efd08246ccfb40c27208e2c4535e9cc93f48ba6a5fce64a781e8a34c031aa916,"Title: Three Fragments of a Border; Object type: Textile; Technique: tabby with inset border of fancy twill, brocaded, cotton and wool; Culture: Chancay; Period: c. 1100–1400; Classification: Textile",metadata_rich_v1,cf0195a664a312d528d77b7052733758dc6ee3e67a168ed15043898fe0592077
CMA:104390,CMA,"Title: Fragment from a Mantle; Object type: Textile; Technique: tabby, brocaded, border: single-face pattern weave (fancy twill), cotton and wool",visual_semantic_v1,a8d6a11a9b79fdaec034a9c267de81b13d0ee1e61940e7cba30908cd475ec352,"Title: Fragment from a Mantle; Object type: Textile; Technique: tabby, brocaded, border: single-face pattern weave (fancy twill), cotton and wool; Culture: Chimu; Period: c. 1100–1400; Classification: Textile",metadata_rich_v1,3a65f4d0cc51463015491d2af64ddd59a18fdb2e6ec969808bfa8bfec1726566
